title_f,title_r,sentiment_f_transformers,sentiment_r_transformers,sentiment_f_textblob,sentiment_r_textblob,sentiment_f_natural,sentiment_r_natural,sentiment_f_sentiment,sentiment_r_sentiment,heuristics
"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”","No, Bill Gates didn't tweet Donald Trump will be 'one of the greatest presidents'",POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House,"No, Former President Obama Didn't Build a Statue of Himself for the White House",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,True
"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’",NOT REAL NEWS: Mitt Romney did not call on Trump to resign,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
FDA Announced That Vaccines Are Causing Autism,FDA did not issue new statement on vaccines and autism,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Melania Trump Hired Exorcist To ‘Cleanse White House Of Obama Demons’,First lady did not hire exorcist for White House,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Drake Can’t Stop Lusting After Rihanna Now That She’s Happy With New BF Hassan Jameel,"No, Drake Isn't 'Lusting After Rihanna,' Despite New Rumors",POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,True
People believe George Clooney is going to run for president in 2020,"No politics, please! George Clooney won't run for president, says he is not qualified enough ",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
'This is McCarthyism!': Trump accuses Obama of 'wire-tapping' his office before election,Trump’s baseless wiretap claim,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Kendall Jenner Not The ‘Boss From Hell’ Who Mistreats Her Employees [Debunked],Kendall Jenner was reportedly rude to waitress/Skins actress; 'threw' money in her face,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",No surprise here; PolitiFact finds Breitbart's Fall River fact-check false,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Does Blake Shelton Have A Drinking Problem? New Details About The Fall He Took On Stage After Drinking 'A Lot',Blake Shelton says he's not a drunk and he didn't pee in public,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Oscar Pistorius Attempts To Commit Suicide,Oscar Pistorius denies attempting suicide in jail,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Why the Golden Globes doesn't have an In Memoriam segment,"No, the Golden Globes Didn't Forget the In Memoriam Segment...It Just Didn't Air on TV	",NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Did Beyoncé and Jay-Z Spend $10 Million on Their Newborn Twins?,Rumor Bust! Beyoncé and Jay-Z Have Not Spent $10M on Twins,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Kris Jenner Offers Lamar Odom $20M To Scrap His Upcoming Memoir,Rumor Bust! Kris Jenner Did Not Offer Lamar Odom $20M to Scrap Tell-All,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Queen orders Meghan Markle into royal bootcamp,Rumor Bust! Meghan Markle Not Ordered to Complete 'Royal Boot Camp',POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
New Law Makes it Illegal to Shower and Do Laundry on Same Day,"No, it’s not illegal take shower and do laundry on same day in California",NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Mel Gibson: Hollywood Pedophiles Have Nowhere Left To Hide,There is no public evidence that Mel Gibson accused Hollywood of child sacrifices and paedophilia,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,Fake news claims Malia Obama was expelled from Harvard for drug violation,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Jennifer Aniston's Pregnant! Or Is She? All The Baby Rumors Over Nearly 20 Years,"I am not pregnant, what I am is fed up: Jennifer Aniston",POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Will Jennifer Aniston And Brad Pitt Give Love A Second Chance?,Jennifer Aniston allegedly doubts she could get back together with Brad Pitt,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
